Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
United States,15.949,10052.329,2.64,0,2.77,2.53,27752.796,7218.351,749.622,1.225,0.017485079,1009.523,0.167534694
Austria,8.772,4497.514,5.35,10.48,7.37,5.13,32903.978,5528.435,411.613,0.062,0.020692872,809.964,0.114061364
Belgium,8.763,4282.348,3.21,11.07,5.64,4.97,54695.619,11453.148,591.904,0.004,0.030268618,1664.227,0.185525532
Bulgaria,5.378,1339.922,0,0,7.454,0,9450.96,672.668,161.392,0.065,0.036682951,1076.39,0.187930233
Czechia,8.102,3336.273,4.1,8.66,6.63,4.04,47802.324,7668.956,384.003,0.103,0.016359574,1065.164,0.170838636
Denmark,8.934,4831.487,4.25,10.13,2.5,0,7904.766,1681.13,1757.263,0.198,0.007726028,205.051,-0.00918125
Finland,7.6,3640.102,3.48,13.57,3.28,2.42,3391.063,764.866,445.695,0,0.016346812,104.982,0.019810417
France,10.338,4632.095,3.17,0,5.98,0,67390.986,9491.261,515.206,0.004,0.024035388,926.77,0.086628571
Germany,10.911,5904.463,4.47,12.06,8,5.87,218595,5258.375,419.488,0.171,0.018496373,366.971,0.034539583
Greece,5.879,1537.205,0,3.38,4.21,3.64,4200,2491.2,316.418,0.018,0.034221307,449.607,0.057943182
Hungary,5.179,1715.623,3.14,6.58,7.02,4.23,55217.344,3045.9,225.645,0,0.028914901,920.797,0.117695349
Ireland,5.598,4235.179,3.46,0,2.96,2.71,14170.706,2167.568,464.202,0.028,0.025181186,438.914,0.026254545
Italy,7.329,2850.732,4,6.28,3.18,2.66,69932.94,6921.358,441.817,0.023,0.035210137,1229.319,0.18039375
Lithuania,5.287,2021.155,4.48,7.81,6.56,4.97,22659.522,4628.2,575.376,0.363,0.012098104,602.146,0.208826829
Luxembourg,4.985,4865.002,2.98,11.72,4.51,3.24,40832.243,6868.41,2554.743,0.158,0.010081945,733.05,0.067806818
Netherlands,9.455,5247.37,3.83,11.08,3.32,2.47,16521.849,6228.191,345.376,0,0.014306022,635.835,0.116670455
Norway,9.787,5641.604,5.09,18.01,3.6,0,3764.936,2846.9,495.764,0.019,0.008909627,78.32,0.005825
Poland,4.692,1652.078,3.3,5.1,6.62,4.37,45234.997,3103.68,195.74,0.092,0.021691378,689.361,0.186962791
Portugal,6.807,2160.339,0,0,3.39,3.34,32048.046,5010.29,541.321,0,0.016742376,650.841,0.124852273
Romania,5.035,1646.824,0,0,6.892,0,129919,2821,229.751,0.031,0.024741053,780.926,0.171959091
Slovakia,0,0,0,0,5.82,4.81,25048.834,2458.608,553.741,0,0.007548985,336.599,0.118132558
Slovenia,6.917,2541.899,3.3,10.47,4.5,0,43031.486,7120.805,313.389,0.267,0.022253119,1225.634,0.159589583
Spain,7.849,2723.922,4.58,6.1,2.97,2.51,30891.699,5574.627,471.348,0,0.026893298,1068.157,0.193208333
Sweden,9.877,4946.044,4.29,0,2.22,0,29702.87,5025.045,386.2,0,0.020848306,815.195,0.095864583
Switzerland,8.221,5003.09,4.39,18.37,4.53,3.53,30758.525,5594.316,368.098,0.043,0.017383647,870.982,0.152509091
United Kingdom,9.923,4157.707,3.03,8.46,2.54,0,37053.892,3702.372,708.997,0,0.039578649,1373.544,0.143229167
